20140057,冷房設備設置工事,2014/5/14,3,2014/5/16,2014/5/23
20140058,リモコンリレー取替,2014/5/17,4,,
20140059,カーブドッチ新潟駅前店防災設備手続等,2014/5/15,2,2014/4/1,2014/5/2
20140060,いしづか様増築工事,2014/5/1,2,2014/5/26,2014/6/30
20140061,アドラーブル女池店ダウンライト４台増設,2014/5/13,2,,2014/5/19
20140062,アプレネイル鐙西店ダウンライト２台増設,2014/5/13,2,,2014/5/19
20140063,「シエスタ分水店」新装工事,2014/5/20,2,2014/5/23,2014/6/13
20140064,鈴木重行様邸ＢＳアンテナ設置他,2014/5/23,6,,2014/5/27
20140065,アミパ新潟店高圧受電設備工事,2014/5/1,63,,
20140066,アミパ新潟店電気設備増減工事,2014/5/1,58,,
20140067,玄関照明器具取替,2014/6/1,13,,
20140068,展示ケース内照明器具修理,2014/5/20,5,,
20140069,石附栄治様邸新築そっくりさん工事,2014/5/15,6,2014/5/15,2014/8/24
20140070,水野内科様タイムスイッチ取替工事,2014/6/1,37,,2014/6/11
20140071,アプレネイル鐙西店ダウンライト２台取替,2014/6/2,2,,2014/6/10
20140072,カーブドッチ屋外コンセント増設,2014/6/2,2,,2014/6/5
20140073,テレビアンテナレベル増幅工事,2014/6/9,59,,2014/6/11
20140074,厨房他照明器具取替,2014/6/23,22,,
20140075,ファーマーズガーデン長岡アピタ店,2014/6/24,62,2014/7/3,2014/7/23
20140076,製氷機修理,2014/6/24,3,,
20140077,コメリ本社ＬＥＤ,2014/5/23,64,,
20140078,スマイル歯科アンテナ不具合修理,2014/7/2,2,,2014/7/4
20140079,塚野目工場機械移設に伴う電気工事,2014/7/5,31,,2014/7/7
20140080,燕三条地場産業振興センター仮設電気工事,2014/7/10,65,2014/7/18,2014/7/20
20140081,蛍光灯納品2014年7月分,2014/7/1,5,2014/7/1,2014/7/31
20140082,エバーグリーン浄化槽制御盤修理,2014/7/4,43,,
20140083,荒町事務所換気カバー取替,2014/7/11,2,,
20140084,ランプ納品,2014/7/16,4,,
20140085,山口様宅エアコン配管移設工事,2014/6/15,24,,
20140086,五泉マッサージ店新装工事,2014/7/1,24,,
20140087,県央バルぱぷりか新築工事,2014/7/15,2,2014/7/16,2014/9/30
